1 0 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 1 PENNY(S)
325 13 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 0 PENNY(S)
326 13 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 1 PENNY(S)
327 13 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 2 PENNY(S)
328 13 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 3 PENNY(S)
329 13 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 4 PENNY(S)
330 13 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 0 PENNY(S)
331 13 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 1 PENNY(S)
332 13 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 2 PENNY(S)
333 13 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 3 PENNY(S)
334 13 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 4 PENNY(S)
335 13 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 0 PENNY(S)
336 13 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 1 PENNY(S)
337 13 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 2 PENNY(S)
338 13 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 3 PENNY(S)
339 13 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 4 PENNY(S)
340 13 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 0 PENNY(S)
341 13 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 1 PENNY(S)
342 13 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 2 PENNY(S)
343 13 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 3 PENNY(S)
344 13 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 4 PENNY(S)
345 13 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 0 PENNY(S)
346 13 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 1 PENNY(S)
347 13 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 2 PENNY(S)
348 13 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 3 PENNY(S)
349 13 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 4 PENNY(S)
350 14 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 0 PENNY(S)
351 14 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 1 PENNY(S)
352 14 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 2 PENNY(S)
353 14 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 3 PENNY(S)
354 14 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 4 PENNY(S)
355 14 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 0 PENNY(S)
356 14 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 1 PENNY(S)
357 14 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 2 PENNY(S)
358 14 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 3 PENNY(S)
359 14 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 4 PENNY(S)
360 14 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 0 PENNY(S)
361 14 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 1 PENNY(S)
362 14 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 2 PENNY(S)
363 14 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 3 PENNY(S)
364 14 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 4 PENNY(S)
365 14 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 0 PENNY(S)
366 14 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 1 PENNY(S)
367 14 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 2 PENNY(S)
368 14 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 3 PENNY(S)
369 14 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 4 PENNY(S)
370 14 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 0 PENNY(S)
371 14 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 1 PENNY(S)
372 14 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 2 PENNY(S)
373 14 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 3 PENNY(S)
374 14 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 4 PENNY(S)
375 15 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 0 PENNY(S)
376 15 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 1 PENNY(S)
377 15 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 2 PENNY(S)
378 15 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 3 PENNY(S)
379 15 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 4 PENNY(S)
380 15 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 0 PENNY(S)
381 15 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 1 PENNY(S)
382 15 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 2 PENNY(S)
383 15 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 3 PENNY(S)
384 15 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 4 PENNY(S)
385 15 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 0 PENNY(S)
386 15 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 1 PENNY(S)
387 15 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 2 PENNY(S)
388 15 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 3 PENNY(S)
389 15 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 4 PENNY(S)
390 15 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 0 PENNY(S)
391 15 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 1 PENNY(S)
392 15 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 2 PENNY(S)
393 15 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 3 PENNY(S)
394 15 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 4 PENNY(S)
395 15 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 0 PENNY(S)
396 15 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 1 PENNY(S)
397 15 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 2 PENNY(S)
398 15 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 3 PENNY(S)
399 15 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 4 PENNY(S)
400 16 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 0 PENNY(S)
401 16 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 1 PENNY(S)
402 16 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 2 PENNY(S)
403 16 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 3 PENNY(S)
404 16 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 4 PENNY(S)
405 16 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 0 PENNY(S)
406 16 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 1 PENNY(S)
407 16 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 2 PENNY(S)
408 16 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 3 PENNY(S)
409 16 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 4 PENNY(S)
410 16 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 0 PENNY(S)
411 16 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 1 PENNY(S)
412 16 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 2 PENNY(S)
413 16 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 3 PENNY(S)
414 16 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 4 PENNY(S)
415 16 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 0 PENNY(S)
416 16 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 1 PENNY(S)
417 16 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 2 PENNY(S)
418 16 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 3 PENNY(S)
419 16 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 4 PENNY(S)
420 16 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 0 PENNY(S)
421 16 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 1 PENNY(S)
422 16 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 2 PENNY(S)
423 16 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 3 PENNY(S)
424 16 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 4 PENNY(S)
425 17 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 0 PENNY(S)
426 17 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 1 PENNY(S)
427 17 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 2 PENNY(S)
428 17 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 3 PENNY(S)
429 17 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 4 PENNY(S)
430 17 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 0 PENNY(S)
431 17 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 1 PENNY(S)
432 17 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 2 PENNY(S)
433 17 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 3 PENNY(S)
434 17 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 4 PENNY(S)
435 17 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 0 PENNY(S)
436 17 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 1 PENNY(S)
437 17 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 2 PENNY(S)
438 17 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 3 PENNY(S)
439 17 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 4 PENNY(S)
440 17 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 0 PENNY(S)
441 17 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 1 PENNY(S)
442 17 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 2 PENNY(S)
443 17 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 3 PENNY(S)
444 17 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 4 PENNY(S)
445 17 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 0 PENNY(S)
446 17 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 1 PENNY(S)
447 17 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 2 PENNY(S)
448 17 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 3 PENNY(S)
449 17 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 4 PENNY(S)
450 18 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 0 PENNY(S)
451 18 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 1 PENNY(S)
452 18 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 2 PENNY(S)
453 18 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 3 PENNY(S)
454 18 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 4 PENNY(S)
455 18 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 0 PENNY(S)
456 18 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 1 PENNY(S)
457 18 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 2 PENNY(S)
458 18 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 3 PENNY(S)
459 18 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 4 PENNY(S)
460 18 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 0 PENNY(S)
461 18 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 1 PENNY(S)
462 18 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 2 PENNY(S)
463 18 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 3 PENNY(S)
464 18 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 4 PENNY(S)
465 18 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 0 PENNY(S)
466 18 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 1 PENNY(S)
467 18 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 2 PENNY(S)
468 18 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 3 PENNY(S)
469 18 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 4 PENNY(S)
470 18 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 0 PENNY(S)
471 18 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 1 PENNY(S)
472 18 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 2 PENNY(S)
473 18 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 3 PENNY(S)
474 18 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 4 PENNY(S)
475 19 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 0 PENNY(S)
476 19 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 1 PENNY(S)
477 19 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 2 PENNY(S)
478 19 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 3 PENNY(S)
479 19 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 4 PENNY(S)
480 19 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 0 PENNY(S)
481 19 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 1 PENNY(S)
482 19 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 2 PENNY(S)
483 19 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 3 PENNY(S)
484 19 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 4 PENNY(S)
485 19 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 0 PENNY(S)
486 19 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 1 PENNY(S)
487 19 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 2 PENNY(S)
488 19 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 3 PENNY(S)
489 19 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 4 PENNY(S)
490 19 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 0 PENNY(S)
491 19 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 1 PENNY(S)
492 19 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 2 PENNY(S)
493 19 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 3 PENNY(S)
494 19 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 4 PENNY(S)
495 19 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 0 PENNY(S)
496 19 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 1 PENNY(S)
497 19 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 2 PENNY(S)
498 19 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 3 PENNY(S)
499 19 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 4 PENNY(S)
500 20 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 0 PENNY(S)
